Date,Vanguard FTSE All-World UCITS ETF (USD) Accumulating (IE00BK5BQT80)
09/2003,1
10/2003,1.0629985121795247
11/2003,1.045140557927432
12/2003,1.0537634508260665
01/2004,1.094286740804975
02/2004,1.1125435488900608
03/2004,1.1242952192591504
04/2004,1.1226116475112744
05/2004,1.1077989196582423
06/2004,1.1325643653772803
07/2004,1.1076639581799406
08/2004,1.1086293376488352
09/2004,1.104855162175265
10/2004,1.102541191171765
11/2004,1.1142466224957972
12/2004,1.1293017104022909
01/2005,1.1553250021084103
02/2005,1.1753856960057918
03/2005,1.1752832954930454
04/2005,1.1500486086072224
05/2005,1.2333229478839525
06/2005,1.2719158349930426
07/2005,1.3198529436997015
08/2005,1.3177129169078723
09/2005,1.3736372118194784
10/2005,1.3398913994455937
11/2005,1.4178698276154067
12/2005,1.4492013054788915
01/2006,1.480838417423858
02/2006,1.5098905577536388
03/2006,1.5133648836468663
04/2006,1.5089176704192908
05/2006,1.4130239165837493
06/2006,1.431018479354059
07/2006,1.436298235756544
08/2006,1.464212647830317
09/2006,1.5045548023892736
10/2006,1.5559750007139352
11/2006,1.5392213080018804
12/2006,1.57813095992754
01/2007,1.6195101571488821
02/2007,1.578819823998906
03/2007,1.5975966047021875
04/2007,1.6345024460299753
05/2007,1.704044824076541
06/2007,1.6931509279906334
07/2007,1.64333350953383
08/2007,1.6389927842707475
09/2007,1.6688113160116589
10/2007,1.703703231835321
11/2007,1.5972490330223932
12/2007,1.582635426576524
01/2008,1.43874310950278
02/2008,1.413607636565415
03/2008,1.3360139169708414
04/2008,1.4349901050685487
05/2008,1.4595108305775915
06/2008,1.3142486304584464
07/2008,1.295724290881529
08/2008,1.3423495858676944
09/2008,1.2126883162596027
10/2008,1.0885328204269775
11/2008,1.019907082728316
12/2008,0.9674939218657767
01/2009,0.9588825656222747
02/2009,0.8774071168565416
03/2009,0.9040173545885343
04/2009,1.015232558530409
05/2009,1.052419331390283
06/2009,1.043997204340705
07/2009,1.1362023193943518
08/2009,1.16695278691913
09/2009,1.189383390394125
10/2009,1.1581900772813059
11/2009,1.1873813179404888
12/2009,1.263167080581797
01/2010,1.2467408700549067
02/2010,1.2979286100269554
03/2010,1.391606486989652
04/2010,1.410760470361929
05/2010,1.3798311254532278
06/2010,1.3430644358350587
07/2010,1.36781149920034
08/2010,1.3557826597852305
09/2010,1.3813528070837895
10/2010,1.4084698347352147
11/2010,1.4654917427574232
12/2010,1.5309999087749726
01/2011,1.5165066785651964
02/2011,1.5429672279799138
03/2011,1.5020338939675157
04/2011,1.49451605243009
05/2011,1.5096633087903104
06/2011,1.4793020600299283
07/2011,1.4738650173345142
08/2011,1.3474528049721637
09/2011,1.3042396153697815
10/2011,1.3926973875130297
11/2011,1.407812168671107
12/2011,1.4556975872078577
01/2012,1.514880493664326
02/2012,1.5593409207201432
03/2012,1.5782481425290498
04/2012,1.5763910080860282
05/2012,1.5283483441682135
06/2012,1.5799083791543433
07/2012,1.6415417165722859
08/2012,1.63315414875192
09/2012,1.6435462858624093
10/2012,1.62568460801886
11/2012,1.6470991453681367
12/2012,1.6593326959429089
01/2013,1.6897352478579504
02/2013,1.7424436232232972
03/2013,1.8174344083456286
04/2013,1.8315605005662499
05/2013,1.8358510654877125
06/2013,1.7720268008633824
07/2013,1.8287374208310294
08/2013,1.7957698386477408
09/2013,1.851042341386505
10/2013,1.9057381165789449
11/2013,1.9363661295945336
12/2013,1.9434595704610658
01/2014,1.9034181409356847
02/2014,1.9501076286590362
03/2014,1.963674066307646
04/2014,1.9726790643950436
05/2014,2.050971742881144
06/2014,2.0822015572322523
07/2014,2.099719349719879
08/2014,2.176688350371856
09/2014,2.2076061976984387
10/2014,2.232703852692899
11/2014,2.277030238554425
12/2014,2.295903524831108
01/2015,2.4285682689210133
02/2015,2.57700272183812
03/2015,2.650633682542441
04/2015,2.616666977250226
05/2015,2.6727618591259237
06/2015,2.5583691383517486
07/2015,2.631547661827872
08/2015,2.3979567548606577
09/2015,2.313059483937341
10/2015,2.5354436534108817
11/2015,2.6183952181625263
12/2015,2.4994015969143235
01/2016,2.340477671530205
02/2016,2.33010730976512
03/2016,2.394884058379413
04/2016,2.425968225097298
05/2016,2.482945714180329
06/2016,2.4785869782122205
07/2016,2.582583668744227
08/2016,2.5855857653460537
09/2016,2.5937843573182655
10/2016,2.600922114972203
11/2016,2.696921137309102
12/2016,2.7817571668181684
01/2017,2.7994411699853377
02/2017,2.9215893900679606
03/2017,2.930596015247954
04/2017,2.9105982381481206
05/2017,2.8964296813985437
06/2017,2.8589917920212287
07/2017,2.8576797785225883
08/2017,2.844722596745256
09/2017,2.903883937535869
10/2017,3.0069930752588006
11/2017,3.010697650739378
12/2017,3.0245305766631527
01/2018,3.074411245065411
02/2018,3.00438153344136
03/2018,2.9131248178642752
04/2018,2.999528010889838
05/2018,3.097463253434223
06/2018,3.088950382792635
07/2018,3.160645905641602
08/2018,3.2055145979787847
09/2018,3.2409183110592235
10/2018,3.0661655742042724
11/2018,3.099181695074817
12/2018,2.858442070747999
01/2019,3.0701537989091165
02/2019,3.1698929014369477
03/2019,3.2611040225505663
04/2019,3.3754649632706855
05/2019,3.1947994895686205
06/2019,3.332278218640811
07/2019,3.409169931790849
08/2019,3.3630751748786882
09/2019,3.4823714679504363
10/2019,3.4938568069753937
11/2019,3.63348886576771
12/2019,3.6782291646947183
01/2020,3.695261835507236
02/2020,3.418832880783986
03/2020,2.9615079586393436
04/2020,3.2998899073772567
05/2020,3.3645841631319313
06/2020,3.4505676755035064
07/2020,3.428716069825077
08/2020,3.612576058861836
09/2020,3.564987605360226
10/2020,3.478733304904504
11/2020,3.8164044567494204
12/2020,3.898070241356158
01/2021,3.9229783385942834
02/2021,4.018715886845358
03/2021,4.269353941651872
04/2021,4.321069269277677
05/2021,4.346591575442764
06/2021,4.51561030433682
07/2021,4.5407421816942195
08/2021,4.675193973753665
09/2021,4.58282632889803
10/2021,4.783433508310485
11/2021,4.777469319920306
12/2021,4.989480125769522
01/2022,4.821234065470653
02/2022,4.679557704496548
03/2022,4.8212494899031775
04/2022,4.675698778465933
05/2022,4.604646743135386
06/2022,4.3494801013380595
07/2022,4.731834050278245
08/2022,4.650518652220863
09/2022,4.313238358462231
10/2022,4.491952143052441
11/2022,4.626401145248131
12/2022,4.331078403427964
01/2023,4.565011321997916
02/2023,4.522190196007164
03/2023,4.5480957402348485
04/2023,4.57077038701274
05/2023,4.646962666570294
06/2023,4.826974087519501
07/2023,4.9312726072648525
08/2023,4.864057098542646
09/2023,4.787455098527489
10/2023,4.631504059171087
11/2023,4.911293848456749
12/2023,5.089290219988655
01/2024,5.218584787470295
02/2024,5.442416698927599
03/2024,5.615891027636598
04/2024,5.480689246688795
05/2024,5.628624243311653
06/2024,5.826162153548692